[INFO ] [2020-12-31 12:01:46,053] Pre-condition - STEP 01: Open browser
[INFO ] [2020-12-31 12:01:52,866] Pre-condition - STEP 02: Open home Page
[INFO ] [2020-12-31 12:01:52,872] Pre-condition - STEP 03: Open register page
[INFO ] [2020-12-31 12:01:55,340] TC_01_registerWithEmptyData - STEP 01: Click to register button
[INFO ] [2020-12-31 12:01:56,031] TC_01_registerWithEmptyData - STEP 02: Verify error message displayed
[INFO ] [2020-12-31 12:01:56,413]  -------------------------- VERIFY PASSED -------------------------- 
[INFO ] [2020-12-31 12:01:56,413] TC_02_registerWithInvalidEmail - STEP 01: Refresh page
[INFO ] [2020-12-31 12:01:56,943] TC_02_registerWithInvalidEmail - STEP 02: SendKey to email text box
[INFO ] [2020-12-31 12:01:57,147] TC_02_registerWithInvalidEmail - STEP 03: Click to register button
[INFO ] [2020-12-31 12:01:57,762] TC_02_registerWithInvalidEmail - STEP 04: Verify error message displayed
[INFO ] [2020-12-31 12:01:57,866]  -------------------------- VERIFY PASSED -------------------------- 
[INFO ] [2020-12-31 12:01:57,866] TC_04_registerWithInvalidPassword - STEP 01: Refresh page
[INFO ] [2020-12-31 12:01:59,129] TC_04_registerWithInvalidPassword - STEP 02: SendKey to password text box
[INFO ] [2020-12-31 12:01:59,437] TC_04_registerWithInvalidPassword - STEP 03: Click to register button
[INFO ] [2020-12-31 12:01:59,986] TC_04_registerWithInvalidPassword - STEP 04: Verify Error message displayed
[INFO ] [2020-12-31 12:02:00,092]  -------------------------- VERIFY PASSED -------------------------- 
[INFO ] [2020-12-31 12:02:00,092] TC_05_registerWithInvalidConfirmPassword - STEP 01: Refresh page
[INFO ] [2020-12-31 12:02:00,108] TC_05_registerWithInvalidConfirmPassword - STEP 02: SendKey to  password text box
[INFO ] [2020-12-31 12:02:00,883] TC_05_registerWithInvalidConfirmPassword - STEP 03: SendKey to confirm password test box
[INFO ] [2020-12-31 12:02:01,112] TC_05_registerWithInvalidConfirmPassword - STEP 04: Click to register button
[INFO ] [2020-12-31 12:02:01,678] TC_05_registerWithInvalidConfirmPassword - STEP 05: Verify error message displayed
[INFO ] [2020-12-31 12:02:01,761]  -------------------------- VERIFY PASSED -------------------------- 
[INFO ] [2020-12-31 12:02:01,762] TC_06_registerWithValidInfo - STEP 01: Refresh page
[INFO ] [2020-12-31 12:02:03,057] TC_06_registerWithValidInfo - STEP 02: Select gender
[INFO ] [2020-12-31 12:02:03,251] TC_06_registerWithValidInfo - STEP 03: Input to first name
[INFO ] [2020-12-31 12:02:03,771] TC_06_registerWithValidInfo - STEP 04: Input to last name
[INFO ] [2020-12-31 12:02:03,959] TC_06_registerWithValidInfo - STEP 05: select date
[INFO ] [2020-12-31 12:02:04,085] TC_06_registerWithValidInfo - STEP 06: Select month
[INFO ] [2020-12-31 12:02:04,199] TC_06_registerWithValidInfo - STEP 07: Select year
[INFO ] [2020-12-31 12:02:04,313] TC_06_registerWithValidInfo - STEP 08: Input to email text box
[INFO ] [2020-12-31 12:02:04,475] TC_06_registerWithValidInfo - STEP 09: Input to company text box
[INFO ] [2020-12-31 12:02:04,618] TC_06_registerWithValidInfo - STEP 10: Input to password text box
[INFO ] [2020-12-31 12:02:04,772] TC_06_registerWithValidInfo - STEP 11: Input to comfirm password text box
[INFO ] [2020-12-31 12:02:04,915] TC_06_registerWithValidInfo - STEP 12: Click to register button
[INFO ] [2020-12-31 12:02:06,310] TC_06_registerWithValidInfo - STEP 13: Verify register success
[INFO ] [2020-12-31 12:02:06,376]  -------------------------- VERIFY PASSED -------------------------- 
[INFO ] [2020-12-31 12:02:06,377] Post-condition - Close browser and driver
[INFO ] [2020-12-31 12:02:06,377] OS name = windows 10
[INFO ] [2020-12-31 12:02:07,694] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2020-12-31 12:02:07,710] Pre-condition - STEP 01: Open browser
[INFO ] [2020-12-31 12:02:13,282] Pre-condition - STEP 02: Init Home page
[INFO ] [2020-12-31 12:02:13,283] Pre-condition - STEP 03: Get home page title
[INFO ] [2020-12-31 12:02:13,302] Pre-condition - STEP 02: Open login page
[INFO ] [2020-12-31 12:02:15,429] TC_01_loginWithEmptyData - STEP 01: Click to Login button
[INFO ] [2020-12-31 12:02:16,045] TC_01_loginWithEmptyData - STEP 02: Verify error message displayed
[INFO ] [2020-12-31 12:02:16,132]  -------------------------- VERIFY PASSED -------------------------- 
[INFO ] [2020-12-31 12:02:16,132] TC_02_loginWithInvalidEmail - STEP 01: Refresh page
[INFO ] [2020-12-31 12:02:16,143] TC_02_loginWithInvalidEmail - STEP 02: Input invalid email to email text box
[INFO ] [2020-12-31 12:02:17,567] TC_02_loginWithInvalidEmail - STEP 03: Click to Login button
[INFO ] [2020-12-31 12:02:18,107] TC_02_loginWithInvalidEmail - STEP 04: Verify error message displayed
[INFO ] [2020-12-31 12:02:18,188]  -------------------------- VERIFY PASSED -------------------------- 
[INFO ] [2020-12-31 12:02:18,189] TC_03_LoginWithEmailNotRegistered - STEP 01: Refresh page
[INFO ] [2020-12-31 12:02:19,382] TC_03_LoginWithEmailNotRegistered - STEP 02: Input invalid email to email text box
[INFO ] [2020-12-31 12:02:19,605] TC_03_LoginWithEmailNotRegistered - STEP 03: Click to login button
[INFO ] [2020-12-31 12:02:20,612] TC_03_LoginWithEmailNotRegistered - STEP 04: Verify error message displayed
[INFO ] [2020-12-31 12:02:20,712]  -------------------------- VERIFY PASSED -------------------------- 
[INFO ] [2020-12-31 12:02:20,714] TC_04_loginWithEmptyPassword - STEP 01: Refresh page
[INFO ] [2020-12-31 12:02:21,952] TC_04_loginWithEmptyPassword - STEP 02: Input valid email to email text box
[INFO ] [2020-12-31 12:02:22,143] TC_04_loginWithEmptyPassword - STEP 03: Click to login button
[INFO ] [2020-12-31 12:02:23,129] TC_04_loginWithEmptyPassword - STEP 04: Verify error message displayed
[INFO ] [2020-12-31 12:02:23,195]  -------------------------- VERIFY PASSED -------------------------- 
[INFO ] [2020-12-31 12:02:23,195] TC_05_loginWithInvalidPassword - STEP 01: Refresh page
[INFO ] [2020-12-31 12:02:23,204] TC_05_loginWithInvalidPassword - STEP 02: Input valid email to email text box
[INFO ] [2020-12-31 12:02:23,846] TC_05_loginWithInvalidPassword - STEP 03: Input invalid password to password text box
